
0,0,0,2,3,4,LEFT,96,104,5,220,-1,-1,-1,,0,NEUTRAL,,0,2
3859,3859,0,6,3,4,DOWN,84,92,5,220,-1,-1,-1,,3859,RIGHT,,3859,4
3862,3862,20,103,3,4,RIGHT,109,117,5,218,27,-1,-1,,3862,UP,,3862,8
3862,3862,30,139,3,4,LEFT,97,105,16,217,3,-1,-1,,3862,UP,,3862,25
3862,3862,60,151,3,4,UP,109,117,23,214,3,-1,-1,,3862,DOWN,,3862,28
3862,3862,100,167,3,4,UP,125,133,27,210,3,-1,-1,,3862,RIGHT,,3862,25
3862,3862,130,179,3,4,RIGHT,137,145,34,207,3,-1,-1,,3862,DOWN,,3862,0
3862,3862,200,207,3,4,RIGHT,133,141,11,200,43,-1,-1,,3862,DOWN,,3862,0
3862,3862,200,219,3,4,DOWN,121,129,7,200,27,-1,-1,,3862,LEFT,,3862,0
3862,3862,350,279,2,3,DOWN,137,145,17,190,-1,-1,-1,,3862,DOWN,,3862,0
3862,3862,350,331,2,3,DOWN,109,117,2,190,30,-1,-1,,3862,RIGHT,,3862,0
3862,3862,350,379,1,3,LEFT,73,81,24,190,-1,-1,-1,,3862,LEFT,,3862,12
3862,3862,410,428,1,3,DOWN,24,32,29,184,-1,-1,-1,,3862,LEFT,,3862,49
3862,3862,500,464,1,3,DOWN,28,20,22,175,64,-1,-1,,3862,UP,,3862,37
3862,3862,660,516,1,2,LEFT,97,40,14,164,-1,42,175,,3862,RIGHT,,3862,12
3862,3862,660,528,1,2,LEFT,96,28,17,164,-1,48,163,,3862,RIGHT,,3862,22
3862,3862,690,540,1,2,LEFT,84,40,21,161,-1,54,151,,3862,UP,,3862,16
3862,3862,720,552,1,2,UP,96,52,10,158,-1,36,139,,3862,UP,,3862,22
3862,3862,770,576,1,2,RIGHT,85,52,5,153,-1,24,115,,3862,RIGHT,,3862,18
3862,3862,770,588,1,2,UP,73,64,12,153,-1,18,103,,3862,UP,,3862,18
3862,3862,830,612,1,2,UP,97,88,9,147,-1,18,79,,3862,RIGHT,,3862,6
3862,3862,860,624,1,2,UP,109,100,13,144,-1,24,67,,3862,RIGHT,,3862,0
3862,3862,860,649,1,2,RIGHT,84,125,9,144,-1,38,42,,3862,DOWN,,3862,0
3862,3862,860,661,1,2,DOWN,72,113,8,144,-1,54,30,,3862,RIGHT,,3862,0
3862,3862,860,685,1,2,RIGHT,96,124,7,144,-1,45,6,,3862,LEFT,,3862,0
3862,3862,860,745,1,2,RIGHT,97,88,6,144,46,-1,-1,,3862,UP,,3862,41
3862,3862,860,757,1,2,UP,109,100,13,144,28,-1,-1,,3862,DOWN,,3862,45
3862,3862,900,773,1,2,UP,125,116,26,140,56,-1,-1,,3862,RIGHT,,3862,37
3862,3862,1070,825,1,1,DOWN,137,128,25,128,-1,48,163,,3862,RIGHT,,3862,18
3862,3862,1090,837,1,1,RIGHT,125,116,12,126,-1,64,151,,3862,RIGHT,,3862,14
3862,3862,1090,889,1,1,DOWN,137,128,23,126,-1,39,99,,3862,DOWN,,3862,14
3862,3862,1160,917,1,1,LEFT,133,124,10,119,-1,29,71,,3862,DOWN,,3862,0
3862,3862,1160,929,1,1,DOWN,121,112,5,119,-1,45,59,,3862,UP,,3862,0
3862,3862,1160,941,1,1,DOWN,109,100,2,119,-1,55,47,,3862,UP,,3862,0
3862,3862,1160,965,1,1,LEFT,96,76,0,119,-1,43,23,,3862,DOWN,,3862,0
3862,3862,1160,1013,1,1,RIGHT,96,28,7,119,69,-1,-1,,3862,DOWN,,3862,24
3862,3862,1160,1037,1,1,DOWN,88,4,13,119,105,-1,-1,,3862,LEFT,,3862,28
3862,3862,1280,1085,1,1,UP,72,40,15,107,112,-1,-1,,3862,DOWN,,3862,4
3862,3862,1300,1121,1,1,RIGHT,97,52,0,105,105,-1,-1,,3862,LEFT,,3862,18
3862,3862,1390,1221,1,1,LEFT,40,4,21,96,134,-1,-1,,3862,UP,,3862,18
3862,3862,1480,1257,1,1,UP,60,40,15,87,106,-1,-1,,3862,UP,,3862,0
3862,3862,1480,1269,1,1,RIGHT,72,52,7,87,99,-1,-1,,3862,DOWN,,3862,0
