
452,452,330,113,LEFT,74,17,15,20,192,true,,452,NEUTRAL,,452,20
453,453,330,113,DOWN,126,17,2147483647,20,192,true,,453,NEUTRAL,,453,20
454,454,330,113,LEFT,117,19,2147483647,20,192,true,,454,NEUTRAL,,454,20
455,455,330,113,RIGHT,122,39,2147483647,42,192,true,,455,NEUTRAL,,455,0
456,456,330,114,LEFT,72,16,16,20,192,true,,456,LEFT,,456,0
457,457,330,114,DOWN,124,16,2147483647,20,192,true,,457,LEFT,,457,0
458,458,330,114,LEFT,115,16,2147483647,20,192,true,,458,UP,,458,0
459,459,330,114,RIGHT,120,36,2147483647,40,192,true,,459,DOWN,,459,0
460,460,330,115,LEFT,71,16,16,20,192,true,,460,UP,,460,0
461,461,330,115,DOWN,123,16,2147483647,20,192,true,,461,LEFT,,461,0
462,462,330,115,LEFT,114,16,2147483647,20,192,true,,462,RIGHT,,462,0
463,463,330,115,RIGHT,119,36,2147483647,40,192,true,,463,RIGHT,,463,0
464,464,330,116,LEFT,96,21,17,22,192,true,,464,DOWN,,464,0
465,465,330,116,DOWN,121,19,2147483647,20,192,true,,465,UP,,465,2
466,466,330,116,LEFT,112,17,2147483647,20,192,true,,466,UP,,466,2
467,467,330,116,RIGHT,117,37,2147483647,38,192,true,,467,DOWN,,467,2
468,468,340,117,LEFT,95,21,17,22,191,true,,468,RIGHT,,468,0
469,469,340,117,DOWN,120,19,2147483647,20,191,true,,469,RIGHT,,469,0
470,470,340,117,LEFT,111,17,2147483647,20,191,true,,470,LEFT,,470,0
471,471,340,117,RIGHT,116,37,2147483647,38,191,true,,471,LEFT,,471,0
472,472,340,118,LEFT,93,22,18,24,191,true,,472,UP,,472,0
473,473,340,118,DOWN,118,18,2147483647,20,191,true,,473,RIGHT,,473,0
474,474,340,118,LEFT,109,18,2147483647,20,191,true,,474,RIGHT,,474,0
475,475,340,118,RIGHT,114,34,2147483647,36,191,true,,475,LEFT,,475,0
476,476,340,119,LEFT,92,22,18,24,191,true,,476,DOWN,,476,0
477,477,340,119,DOWN,117,18,2147483647,20,191,true,,477,RIGHT,,477,0
478,478,340,119,LEFT,108,18,2147483647,20,191,true,,478,RIGHT,,478,0
479,479,340,119,RIGHT,113,34,2147483647,36,191,true,,479,LEFT,,479,0
480,480,340,120,LEFT,90,23,19,26,191,true,,480,UP,,480,0
481,481,340,120,DOWN,115,17,2147483647,20,191,true,,481,DOWN,,481,2
482,482,340,120,LEFT,106,19,2147483647,20,191,true,,482,UP,,482,2
483,483,340,120,RIGHT,111,31,2147483647,34,191,true,,483,UP,,483,2
484,484,350,121,LEFT,89,23,19,26,190,true,,484,RIGHT,,484,0
485,485,350,121,DOWN,114,17,2147483647,20,190,true,,485,UP,,485,0
486,486,350,121,LEFT,105,19,2147483647,20,190,true,,486,DOWN,,486,0
487,487,350,121,RIGHT,110,31,2147483647,34,190,true,,487,LEFT,,487,0
488,488,350,122,LEFT,87,24,20,28,190,true,,488,UP,,488,0
489,489,350,122,DOWN,112,16,2147483647,20,190,true,,489,RIGHT,,489,0
490,490,350,122,LEFT,103,16,2147483647,20,190,true,,490,RIGHT,,490,0
