
0,0,50,17,3,4,DOWN,76,68,25,215,-1,-1,-1,,0,NEUTRAL,,0,57
3,3,340,117,3,3,LEFT,97,88,28,191,73,51,-1,,3,NEUTRAL,,3,0
2,2,0,22,3,4,LEFT,96,104,16,220,-1,-1,-1,,2,DOWN,,2,2
4,4,0,58,3,4,LEFT,84,92,5,220,-1,-1,-1,,4,DOWN,,4,14
5,5,40,94,3,4,DOWN,48,56,33,216,-1,-1,-1,,5,LEFT,,5,30
5,5,70,106,3,4,LEFT,60,68,30,213,36,-1,-1,,5,DOWN,,5,0
5,5,210,181,2,4,LEFT,40,32,16,199,-1,-1,-1,,5,DOWN,,5,57
5,5,500,281,2,3,RIGHT,97,105,28,175,67,55,-1,,5,LEFT,,5,18
5,5,560,305,2,3,RIGHT,84,92,23,169,43,27,-1,,5,UP,,5,0
5,5,790,348,1,3,LEFT,96,104,17,166,-1,-1,-1,,5,RIGHT,,5,16
5,5,900,432,1,3,RIGHT,60,68,14,155,47,-1,-1,,5,RIGHT,,5,12
5,5,900,444,1,3,RIGHT,48,56,20,155,43,-1,-1,,5,RIGHT,,5,45
5,5,960,480,1,3,DOWN,28,20,9,149,47,-1,-1,,5,RIGHT,,5,37
5,5,1130,532,1,2,LEFT,92,80,15,137,-1,21,175,,5,DOWN,,5,4
5,5,1150,544,1,2,LEFT,104,68,9,135,-1,15,163,,5,RIGHT,,5,50
5,5,1150,556,1,2,LEFT,116,56,9,135,-1,27,151,,5,LEFT,,5,50
5,5,1150,568,1,2,LEFT,128,44,7,135,-1,33,139,,5,DOWN,,5,120
5,5,1350,604,1,2,DOWN,140,40,0,135,-1,51,103,,5,DOWN,,5,133
5,5,1350,616,1,2,RIGHT,128,52,0,135,-1,33,91,,5,UP,,5,133
5,5,1750,640,1,2,UP,104,68,9,135,-1,31,-1,,5,UP,,5,0
5,5,1750,652,1,2,RIGHT,92,80,13,135,-1,23,-1,,5,LEFT,,5,0
5,5,1750,752,1,2,LEFT,165,4,13,135,34,-1,-1,,5,UP,,5,16
5,5,1830,1032,1,2,RIGHT,104,80,2,127,6,-1,-1,,5,LEFT,,5,2
5,5,1830,1056,1,2,UP,80,104,5,127,6,-1,-1,,5,DOWN,,5,16
5,5,1840,1080,1,2,UP,56,128,19,126,6,-1,-1,,5,RIGHT,,5,50
5,5,1940,1120,1,2,LEFT,40,157,35,116,6,-1,-1,,5,UP,,5,69
5,5,2290,1244,1,1,RIGHT,73,108,17,86,-1,28,183,,5,DOWN,,5,26
5,5,2330,1260,1,1,DOWN,57,92,16,82,-1,36,167,,5,UP,,5,22
5,5,2360,1272,1,1,DOWN,69,80,9,79,-1,42,155,,5,LEFT,,5,16
5,5,2420,1296,1,1,DOWN,93,56,7,73,-1,70,131,,5,DOWN,,5,4
5,5,2440,1308,1,1,DOWN,105,44,2,71,-1,84,119,,5,DOWN,,5,0
5,5,2440,1320,1,1,DOWN,117,32,5,71,-1,90,107,,5,LEFT,,5,0
5,5,2440,1420,1,1,RIGHT,140,52,0,71,-1,84,7,,5,RIGHT,,5,0
5,5,2440,1432,1,1,RIGHT,128,64,0,71,63,-1,-1,,5,RIGHT,,5,0
37,37,220,87,3,4,UP,96,104,17,198,-1,-1,-1,,37,LEFT,,37,25
37,37,280,111,3,4,LEFT,85,93,18,192,31,-1,-1,,37,RIGHT,,37,25
37,37,320,148,3,4,LEFT,48,56,25,188,31,-1,-1,,37,UP,,37,0
37,37,380,172,3,4,UP,72,80,11,182,34,-1,-1,,37,LEFT,,37,0
37,37,420,204,2,4,RIGHT,125,133,31,178,-1,-1,-1,,37,DOWN,,37,24
37,37,460,220,2,4,DOWN,109,117,19,174,-1,-1,-1,,37,DOWN,,37,16
37,37,490,232,2,4,DOWN,97,105,6,171,-1,-1,-1,,37,UP,,37,16
37,37,590,333,1,4,RIGHT,76,68,15,161,-1,-1,-1,,37,LEFT,,37,45
37,37,850,445,1,3,LEFT,96,88,25,140,66,66,-1,,37,RIGHT,,37,28
37,37,880,457,1,3,LEFT,84,76,28,137,66,52,-1,,37,DOWN,,37,22
37,37,910,469,1,3,LEFT,72,64,23,134,66,34,-1,,37,DOWN,,37,16
37,37,990,505,1,3,DOWN,76,52,5,126,42,52,-1,,37,LEFT,,37,31
37,37,1150,605,1,2,RIGHT,117,92,2,115,-1,57,175,,37,LEFT,,37,0
37,37,1150,617,1,2,RIGHT,129,80,5,115,-1,39,163,,37,LEFT,,37,50
37,37,1150,629,1,2,RIGHT,141,68,8,115,-1,21,151,,37,UP,,37,50
37,37,1150,641,1,2,UP,129,80,5,115,-1,27,139,,37,DOWN,,37,50
37,37,1350,665,1,2,UP,116,80,0,115,-1,39,-1,,37,DOWN,,37,0
37,37,1350,737,1,2,RIGHT,68,56,12,115,31,50,43,,37,UP,,37,0
52,52,0,1,3,4,LEFT,84,92,5,220,-1,-1,-1,,52,LEFT,,52,16
54,54,10,25,3,4,UP,108,116,19,219,-1,-1,-1,,54,RIGHT,,54,51
55,55,80,53,3,4,UP,112,120,35,212,-1,-1,-1,,55,RIGHT,,55,0
55,55,110,65,3,4,RIGHT,100,108,26,209,-1,-1,-1,,55,UP,,55,0
55,55,270,117,3,3,DOWN,112,120,21,198,41,37,-1,,55,UP,,55,0
55,55,280,140,2,3,LEFT,96,104,38,197,-1,-1,-1,,55,UP,,55,45
55,55,310,152,2,3,LEFT,97,105,32,194,-1,-1,-1,,55,LEFT,,55,57
55,55,600,252,2,2,UP,72,80,25,170,26,-1,-1,,55,RIGHT,,55,14
55,55,700,300,2,2,RIGHT,24,32,27,160,26,-1,-1,,55,LEFT,,55,55
55,55,870,352,2,1,LEFT,153,4,18,148,-1,18,171,,55,RIGHT,,55,22
55,55,900,364,2,1,LEFT,165,4,21,145,-1,24,159,,55,UP,,55,16
55,55,980,400,2,1,UP,140,40,14,137,-1,30,123,,55,DOWN,,55,10
55,55,1030,448,2,1,DOWN,153,16,5,132,-1,22,75,,55,UP,,55,120
55,55,1750,702,1,1,UP,93,76,15,120,-1,-1,-1,,55,DOWN,,55,0
67,67,50,18,3,4,RIGHT,36,44,34,215,-1,-1,-1,,67,RIGHT,,67,49
68,68,80,30,3,4,RIGHT,24,32,28,212,-1,-1,-1,,68,RIGHT,,68,43
69,69,250,82,3,3,LEFT,88,4,18,200,-1,128,-1,,69,UP,,69,10
71,71,300,118,3,3,RIGHT,97,40,16,195,32,95,-1,,71,LEFT,,71,24
73,73,330,182,3,3,LEFT,76,4,16,192,56,98,-1,,73,RIGHT,,73,57
