
0,0,20,7,3,4,DOWN,137,145,41,218,-1,-1,-1,,0,NEUTRAL,,0,28
1,1,90,35,3,4,RIGHT,133,141,11,211,-1,-1,-1,,1,NEUTRAL,,1,0
2,2,160,63,3,4,UP,148,156,28,204,-1,-1,-1,,2,NEUTRAL,,2,0
3,3,10,3,3,4,LEFT,60,68,25,219,-1,-1,-1,,3,DOWN,,3,12
5,5,70,27,3,4,RIGHT,36,44,32,213,-1,-1,-1,,5,LEFT,,5,39
5,5,100,39,3,4,RIGHT,24,32,27,210,-1,-1,-1,,5,RIGHT,,5,39
5,5,270,91,3,3,LEFT,88,4,18,198,-1,119,-1,,5,DOWN,,5,24
5,5,300,103,3,3,LEFT,76,4,21,195,127,133,-1,,5,UP,,5,22
5,5,390,139,3,3,UP,72,40,19,186,55,115,-1,,5,DOWN,,5,4
5,5,410,239,3,3,LEFT,76,4,13,184,15,131,-1,,5,RIGHT,,5,36
5,5,500,275,3,3,LEFT,40,4,21,175,15,-1,-1,,5,UP,,5,18
5,5,610,406,2,3,LEFT,84,80,5,164,-1,-1,-1,,5,RIGHT,,5,2
5,5,620,466,2,3,LEFT,48,68,28,163,-1,-1,-1,,5,UP,,5,0
5,5,690,496,1,3,LEFT,96,76,9,156,-1,-1,-1,,5,RIGHT,,5,0
